"time","GSR","pks","pwr"
442.2,1.9714,0,0
442.3,1.9714,0,0
442.4,1.9665,0,0
442.5,1.9665,0,0
442.6,1.962,0,0
442.7,1.962,0,0
442.8,1.962,0,0
442.9,1.9574,0,0
443,1.9574,0,0
443.1,1.9562,0,0
443.2,1.9562,0,0
443.3,1.9562,0,0
443.4,1.9562,0,0
443.5,1.9562,0,0
443.6,1.9574,0,0
443.7,1.9574,0,0
443.8,1.9607,0,0
443.9,1.9607,0,0
444,1.9628,0,0
444.1,1.9628,0,0
444.2,1.9644,0,0
444.3,1.9644,0,0
444.4,1.9644,0,0
444.5,1.9652,0,0
444.6,1.9652,0,0
444.7,1.9665,0,0
444.8,1.9665,0,0
444.9,1.9669,0,0
445,1.9669,0,0
445.1,1.9669,0,0
445.2,1.9665,0,0
445.3,1.9665,0,0
445.4,1.9644,0,0
445.5,1.9644,0,0
445.6,1.9615,0,0
445.7,1.9615,0,0
445.8,1.9615,0,0
445.9,1.9574,0,0
446,1.9574,0,0
446.1,1.9632,0,0
446.2,1.9632,0,0
446.3,1.971,0,0
446.4,1.971,0,0
446.5,1.9752,0,0
446.6,1.9752,0,0
446.7,1.9752,0,0
446.8,1.976,0,0
446.9,1.976,0,0
447,1.9615,0,0
447.1,1.9615,0,0
447.2,1.9473,0,0
447.3,1.9473,0,0
447.4,1.9473,0,0
447.5,1.9367,0,0
447.6,1.9367,0,0
447.7,1.9295,0,0
447.8,1.9295,0,0
447.9,1.9279,0,0
448,1.9279,0,0
448.1,1.9279,0,0
448.2,1.9255,0,0
448.3,1.9255,0,0
448.4,1.9236,0,0
448.5,1.9236,0,0
448.6,1.9224,0,0
448.7,1.9224,0,0
448.8,1.9224,0,0
448.9,1.9232,0,0
449,1.9232,0,0
449.1,1.9089,0,0
449.2,1.9089,0,0
449.3,1.9027,0,0
449.4,1.9027,0,0
449.5,1.9062,0,0
449.6,1.9062,0,0
449.7,1.9062,0,0
449.8,1.9148,0,0
449.9,1.9148,0,0
450,1.9432,0,0
450.1,1.9432,0,0
450.2,1.9673,0,0
450.3,1.9673,0,0
450.4,1.9673,0,0
450.5,1.9839,0,0
450.6,1.9839,0,0
450.7,1.9996,0,0
450.8,1.9996,0,0
450.9,2.0231,0,0
451,2.0231,0,0
451.1,2.0231,0,0
451.2,2.0366,0,0
451.3,2.0366,0,0
451.4,2.0419,0,0
451.5,2.0419,0,0
451.6,2.038,0,0
451.7,2.038,0,0
451.8,2.038,0,0
451.9,2.0253,0,0
452,2.0253,0,0
452.1,2.0262,0,0
452.2,2.0262,0,0
452.3,2.0397,0,0
452.4,2.0397,0,0
452.5,2.061,0,0
452.6,2.061,0,0
452.7,2.061,0,0
452.8,2.0835,0,0
452.9,2.0835,0,0
453,2.1033,0,0
453.1,2.1033,0,0
453.2,2.1205,0,0
453.3,2.1205,0,0
453.4,2.1205,0,0
453.5,2.1371,0,0
453.6,2.1371,0,0
453.7,2.1553,0,0
453.8,2.1553,0,0
453.9,2.1777,0,0
